City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
461,gardnerville ranchos,38.8882,-119.7413,281.62,56,20,5.81,US,1708212620
462,chonchi,-42.6128,-73.8092,289.99,76,54,1.38,CL,1708212621
463,maumere,-8.6199,122.2111,301.29,77,98,0.62,ID,1708212622
464,blagoveshchenka,52.8333,79.8667,251.57,99,100,2.35,RU,1708212624
465,priozersk,61.0393,30.1291,271.45,29,100,6.29,RU,1708212625
466,rio grande,-32.035,-52.0986,299.21,94,10,6.56,BR,1708212606
467,monze,-16.2833,27.4833,295.91,48,84,0.53,ZM,1708212626
468,camrose,53.0168,-112.8353,274.89,82,6,1.5,CA,1708212627
469,dahab,28.501,34.5134,290.0,43,0,3.71,EG,1708212628
470,juan aldama,24.2908,-103.3944,283.35,64,64,5.35,MX,1708212629
471,san marcos,33.1434,-117.1661,291.84,77,100,3.09,US,1708212630
472,prairie du chien,43.0517,-91.1412,274.2,43,0,6.17,US,1708212631
473,remire-montjoly,4.9167,-52.2667,300.17,78,40,6.17,GF,1708212632
474,poronaysk,49.2167,143.1167,275.27,89,100,6.05,RU,1708212632
475,zaozersk,69.4005,32.4476,270.32,81,100,11.22,RU,1708212633
476,siwa oasis,29.2041,25.5195,286.87,57,49,3.6,EG,1708212634
477,haiku-pauwela,20.9219,-156.3051,297.16,61,75,7.72,US,1708212635
478,diego de almagro,-26.3667,-70.05,295.38,51,44,1.83,CL,1708212636
479,lilongwe,-13.9669,33.7873,293.81,89,100,0.07,MW,1708212637
480,saint joseph,39.7686,-94.8466,273.46,56,0,6.17,US,1708212637
481,mehtar lam,34.6714,70.2094,285.35,60,100,3.52,AF,1708212638
482,mgandu,-5.95,34.1333,290.21,91,97,1.11,TZ,1708212639
483,palmer,42.1584,-72.3287,271.9,50,75,6.17,US,1708212640
484,watsa,3.0372,29.5355,294.58,50,71,0.82,CD,1708212640
485,cavelossim,15.1726,73.9419,296.27,72,11,1.98,IN,1708212641
486,turbat,26.0023,63.044,292.84,66,6,1.34,PK,1708212641
487,bage,-31.3314,-54.1069,296.03,88,0,3.09,BR,1708212642
488,novyy urengoy,66.0833,76.6333,245.86,93,83,3.39,RU,1708212643
489,mugia,43.1041,-9.2179,285.32,87,100,2.6,ES,1708212643
490,puerto baquerizo moreno,-0.9,-89.6,300.14,83,61,3.48,EC,1708212644
491,togur,58.3631,82.8265,246.56,100,96,1.34,RU,1708212645
492,nuevo cuscatlan,13.6486,-89.2653,298.35,85,39,1.34,SV,1708212646
493,huntingburg,38.2989,-86.955,267.8,58,0,3.09,US,1708212454
494,smirnovo,54.5125,69.4222,240.12,100,93,2.12,KZ,1708212647
495,mejit,10.2753,170.8646,299.96,82,45,8.61,MH,1708212648
496,beitbridge,-22.2167,30.0,300.49,52,0,10.22,ZW,1708212648
497,jolo,6.05,121.0167,299.51,79,32,2.11,PH,1708212649
498,narrabri,-30.3167,149.7833,303.03,44,1,2.64,AU,1708212650
499,lobito,-12.3481,13.5456,300.56,85,98,2.82,AO,1708212650
500,ulladulla,-35.35,150.4667,298.46,71,75,2.52,AU,1708212651
501,salalah,17.0151,54.0924,296.2,73,20,1.54,OM,1708212652
502,leon,21.1167,-101.6667,291.18,42,74,4.84,MX,1708212652
503,san lawrenz,36.0553,14.204,285.82,69,100,4.85,MT,1708212653
504,igarka,67.4667,86.5833,244.17,93,100,3.09,RU,1708212654
505,port blair,11.6667,92.75,297.17,94,37,1.03,IN,1708212654
506,lepsy,46.235,78.9456,250.21,85,5,4.82,KZ,1708212655
507,ubari,26.5921,12.7805,288.36,22,90,6.07,LY,1708212656
508,bude,50.8243,-4.5413,285.93,90,100,1.34,GB,1708212656
509,kyzyl-mazhalyk,51.1333,90.6,245.32,87,100,0.45,RU,1708212657
510,cefalu,38.0386,14.0229,286.78,82,3,0.89,IT,1708212657
511,mermoz boabab,14.7065,-17.4758,298.46,73,0,3.09,SN,1708212658
512,monrovia,6.3005,-10.7969,299.02,87,55,3.15,LR,1708212649
513,dombarovskiy,50.7587,59.5386,252.59,87,100,2.24,RU,1708212659
514,upington,-28.4478,21.2561,294.36,14,0,0.0,ZA,1708212660
515,sona,45.4388,10.8255,282.77,100,14,1.54,IT,1708212660
516,novodvinsk,64.4165,40.8122,268.01,96,100,6.8,RU,1708212661
517,maragogi,-9.0122,-35.2225,300.75,83,51,4.34,BR,1708212662
518,bikenibeu village,1.3673,173.1241,303.13,79,75,6.17,KI,1708212662
519,zhangjiajie,29.1294,110.4783,289.57,92,100,1.06,CN,1708212663
520,balaipungut,1.05,101.2833,296.81,97,100,1.08,ID,1708212663
521,west end,26.6833,-78.9667,297.14,83,100,7.37,BS,1708212664
522,jackson,42.4165,-122.8345,285.95,75,100,3.13,US,1708212450
523,malabrigo,-29.3464,-59.9696,298.89,53,1,2.26,AR,1708212665
524,ghanzi,-21.5667,21.7833,297.41,55,95,2.65,BW,1708212666
525,ilomantsi,62.6716,30.9328,267.42,92,99,5.31,FI,1708212671
526,gannan,47.9147,123.5031,263.45,92,100,7.33,CN,1708212671
